Paper,Region,Method,Mean_pval,Std_pval,P_cross
Liu_2012,lateraloccipital*,exact,0.001,0.00041265863875206485,0.0
Liu_2012,isthmuscingulate,exact,0.064,0.02473634959362469,0.3147591055069633
Liu_2012,caudalanteriorcingulate,exact,0.82,0.1208671285316921,8.101026475620904e-10
Liu_2012,rostralanteriorcingulate,exact,0.23,0.09026054291125761,0.0037710568587333306
Liu_2012,posteriorcingulate,exact,0.029,0.01341035582594786,0.07468757806417703
Liu_2012,Hippocampus,exact,0.355,0.03952244424342805,3.217946226086384e-30
Liu_2012,Amygdala,exact,0.312,0.07753952472673936,6.354640040091033e-07
Liu_2012,Caudate,exact,0.396,0.05410964115688976,4.595994702005412e-21
Liu_2012,Accumbensarea,exact,0.686,0.14296790907308232,8.992804748497669e-08
Liu_2012,Putamen,exact,0.486,0.0761444719401248,2.586466838138795e-16
Liu_2012,Pallidum,exact,0.733,0.11820278156362199,4.3314717320832017e-11
Liu_2012,Brain-Stem,exact,0.35,0.040271828644872394,2.8357383825490737e-28
Liu_2012,CortexVol,exact,0.736,0.02469326034708589,5.518886437625293e-229
Liu_2012,CerebellumCortex,exact,0.387,0.02758734977535505,7.685518652262251e-73
Liu_2012,Thalamus,exact,0.116,0.02946183352613999,0.0030934534446387064
Liu_2012,CC_Anterior,exact,0.721,0.14521755601830216,1.1787106786911397e-07
Liu_2012,CC_Central,exact,0.665,0.1644499092863114,5.262671383145226e-06
Liu_2012,CC_Mid_Anterior,exact,0.618,0.15238946023537733,1.7104515015981627e-06
Liu_2012,CC_Mid_Posterior,exact,0.581,0.18148568169420545,0.00013699193606277616
Liu_2012,CC_Posterior,exact,0.506,0.19080787943292526,0.001163562140840174
