region,hemisphere,n_tests,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
parsopercularis,rh,26,0,0.0,0.03814693420085795,0.06672395326623265,-0.09581070125977867,0.17426574257665656,0.569421024135581,0.24755140293467426,0.08291052140421735,0.9208670335565055,103.0,103,103
precuneus,rh,26,0,0.0,-0.10449587722487043,0.0331525327567278,-0.16691987229180574,-0.04591484630008541,0.3247726564662353,0.1573668456965846,0.09693862693495568,0.6501058201689334,103.0,103,103
precentral,rh,26,0,0.0,0.050014138731768895,0.043725467979750736,-0.019347574557031642,0.12494852927749506,0.6366382659512306,0.26923199873470677,0.2154800441607951,0.998251663616723,103.0,103,103
precentral,lh,26,0,0.0,0.06356302575747465,0.04081403676210662,-0.047452256388052484,0.12729536961459045,0.5285296636619792,0.21442819294434465,0.20691609576750197,0.8842314392301802,103.0,103,103
posteriorcingulate,rh,26,0,0.0,-0.029272059527825658,0.0532740239780059,-0.10447421710955423,0.06807717384285757,0.6383993561077025,0.22735451738584211,0.30092996484577983,0.9566468175613075,103.0,103,103
postcentral,lh,26,0,0.0,0.014536843635281694,0.056086232016198154,-0.10759733262694597,0.09678117710914137,0.6589846826685014,0.22799687973900262,0.2866304427586321,0.995352339137899,103.0,103,103
postcentral,rh,26,0,0.0,-0.09300974691308149,0.025826708777461786,-0.1650006853869429,-0.04276501579457309,0.37180719874828283,0.13224300036788553,0.10089554398093432,0.672684257493763,103.0,103,103
parstriangularis,rh,26,0,0.0,0.040913706225879976,0.06119379034834785,-0.09292738116054004,0.12084600962289785,0.5374534751340707,0.20149538452294868,0.2310487481666843,0.8574517307907589,103.0,103,103
parstriangularis,lh,26,0,0.0,-0.015981612616549127,0.07230895725958157,-0.14793575589930305,0.12130207273151948,0.5795889175074483,0.25402018006736604,0.14187254988668668,0.9940035566104142,103.0,103,103
superiorparietal,lh,26,0,0.0,-0.05027234721877742,0.05158563866781726,-0.1763225470279653,0.05770231772816018,0.6138255140415766,0.24944196883034328,0.07928772053016761,0.9875899644671396,103.0,103,103
superiorfrontal,rh,26,0,0.0,-0.05211808153963159,0.052640326653633794,-0.14502251682081518,0.09141105220556682,0.5619733125158253,0.24240146063432902,0.1499764039795516,0.9647019475199575,103.0,103,103
rostralanteriorcingulate,rh,26,0,0.0,-0.016101305742768638,0.06668200438999651,-0.1481630119266136,0.09224184812458214,0.632205887037667,0.2610863626438001,0.1412545899606264,0.994777933276229,103.0,103,103
superiortemporal,lh,26,0,0.0,-0.04742562731812661,0.05040331211843222,-0.17087021402637578,0.006190062927229576,0.6771844890396239,0.29051919682779187,0.08917909192347684,0.9906874443294489,103.0,103,103
supramarginal,rh,26,0,0.0,-0.09228903421578322,0.03449924492819312,-0.16280087564393572,-0.012522321181111906,0.38613448826197,0.18998600882184793,0.10558568001821574,0.901589488804452,103.0,103,103
supramarginal,lh,26,0,0.0,-0.04113442895643163,0.07299804462429957,-0.17685446575524066,0.15602352456786292,0.5712586333879991,0.2968991216025537,0.0783717430379702,0.9685629933783904,103.0,103,103
transversetemporal,lh,26,0,0.0,-0.05521686370934883,0.058488778670764595,-0.1633297033648387,0.054698234782525106,0.5331866367141604,0.24505980937779376,0.10444292639614426,0.9441652651088444,103.0,103,103
transversetemporal,rh,26,0,0.0,-0.011549968950683413,0.0709840354186756,-0.1490335818005422,0.14720667064268644,0.6107136273826753,0.262794026754935,0.13890615177317236,0.9714501122725,103.0,103,103
